index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
485623,840,4,16/04/2015,1189,1,1,0,0,10276.07778337202
214073,848,5,31/07/2015,998,1,1,0,1,9190.45220544032
406145,124,6,12/07/2014,297,1,0,0,0,3483.7108268127777
397642,1028,2,31/12/2013,438,1,0,0,1,4596.450045278529
273960,95,2,24/09/2013,1099,1,1,0,0,9876.771703911189
12104,208,1,28/10/2013,323,1,0,0,0,3984.599115450459
361202,249,2,08/07/2014,449,1,0,0,0,4697.6197705124505
79347,887,3,20/03/2013,614,1,1,0,0,6542.510587290628
462803,73,1,28/04/2014,601,1,1,0,1,6962.8395924236975
141713,13,4,02/04/2015,501,1,1,0,1,6261.300277576724
703618,1049,2,03/09/2013,580,1,0,0,1,5338.688154138683
308360,144,4,05/02/2015,769,1,1,0,0,7758.395807801862
317995,847,3,14/08/2013,1018,1,1,0,1,9203.40002049855
364408,796,3,08/05/2013,717,1,0,0,0,5953.310339342861
27886,396,4,11/06/2015,1139,1,0,0,0,8814.334564205259
706814,1080,7,15/09/2013,0,0,0,0,0,0.0
514516,675,5,26/09/2014,338,1,0,0,0,3805.2979401712655
577373,1099,1,01/12/2014,1236,1,1,0,0,10872.819034701388
190561,791,1,11/05/2015,858,1,0,0,0,7255.716103031766
92512,1014,2,24/03/2015,1476,1,0,0,0,10830.800346962642
565163,487,2,04/11/2014,737,1,1,0,0,7826.974907788273
500246,427,3,13/02/2013,701,1,0,0,1,5855.047872279887
223708,254,5,14/11/2014,282,1,1,0,0,4873.835579571547
555732,43,5,31/01/2014,710,1,0,0,0,5886.372281314456
654150,1074,2,09/06/2015,421,1,0,0,0,4520.638436108828
558350,549,6,29/06/2013,380,1,0,0,0,3756.636966841703
52167,1095,2,08/01/2013,720,1,1,0,0,7159.866523652221
296981,295,1,28/10/2013,612,1,0,0,1,5766.470587935008
332143,319,1,14/10/2013,863,1,0,0,1,7276.5981799130095
426553,1002,4,10/04/2014,642,1,0,0,0,5503.07469104015
481847,448,6,06/12/2014,544,1,0,0,0,5097.6456495190505
100496,527,2,03/09/2013,1046,1,0,0,1,8238.073823732091
706377,255,5,12/04/2013,652,1,1,0,0,6736.57360468898
599169,581,5,04/07/2014,651,1,1,0,0,6923.93567920709
55294,185,6,05/01/2013,550,1,0,0,0,4659.444483693689
218737,244,6,22/11/2014,538,1,0,0,0,5065.930642935273
266706,1082,6,05/01/2013,877,1,0,0,0,6511.798576050729
441953,216,5,20/03/2015,837,1,1,0,0,8123.36838968622
127184,350,4,05/03/2015,508,1,1,0,0,6180.346860191843
312223,748,1,31/03/2014,822,1,1,0,0,8130.045043409511
583377,718,1,08/12/2014,962,1,0,0,0,7984.1503886215505
523743,739,5,21/02/2014,789,1,1,0,0,7579.63471363968
476775,614,7,21/12/2014,0,0,0,0,0,0.0
620142,673,2,18/02/2014,615,1,1,0,0,6767.737597049389
460092,83,1,10/06/2013,367,1,0,0,0,4125.974487276981
169260,976,3,18/09/2013,598,1,0,0,0,5345.166830632254
177084,637,6,06/04/2013,518,1,0,0,0,4501.067052591243
645354,122,2,07/01/2014,714,1,1,0,0,7407.842654330889
645737,898,1,24/11/2014,1013,1,1,0,0,9529.358942223887
272578,1080,4,26/06/2014,710,1,0,0,0,5979.3530412504915
600374,291,1,30/03/2015,1290,1,1,0,0,11176.18827802653
566038,24,4,03/01/2013,711,1,0,0,1,5856.74855035916
381862,1096,7,18/08/2013,0,0,0,0,0,0.0
535335,637,5,30/05/2014,860,1,0,0,0,6842.813224271871
499411,1002,2,02/06/2015,850,1,1,0,0,8413.986425378826
625219,666,1,10/03/2014,497,1,0,0,0,4874.083097532159
61823,1089,7,24/11/2013,0,0,0,0,0,0.0
653471,334,6,31/08/2013,515,1,0,0,0,4673.664581396384
441789,300,6,30/08/2014,951,1,0,0,1,7507.862996398297
155435,207,1,22/09/2014,1166,1,0,0,0,9201.496435564419
226567,683,3,27/05/2015,854,1,0,0,0,7099.213555340772
107330,1094,2,14/05/2013,394,1,1,0,0,5321.187114775588
149417,700,4,09/07/2015,576,1,0,0,0,5390.8613772754325
191690,959,2,26/08/2014,744,1,0,0,0,6426.118051689118
146544,766,7,22/06/2014,0,0,0,0,0,0.0
383603,1011,6,08/06/2013,977,1,0,0,0,7296.687795585196
452941,570,5,13/12/2013,676,1,0,0,0,5817.466248229495
629103,685,2,10/09/2013,689,1,1,0,0,7299.408288120525
30258,158,3,16/04/2014,681,1,1,0,1,7272.4724141994375
219501,66,5,29/05/2015,522,1,0,0,1,5063.781429240946
528607,76,2,30/07/2013,1080,1,1,0,0,9700.800256384711
397525,572,3,16/10/2013,458,1,0,0,0,4587.311200837023
314281,184,6,11/10/2014,510,1,0,0,0,4865.564535489655
489418,1034,5,06/12/2013,775,1,1,0,0,7633.611067588034
182776,559,7,11/08/2013,0,0,0,0,0,0.0
335928,862,2,23/12/2014,1561,1,0,0,1,11566.351440466009
198358,171,2,11/11/2014,962,1,1,0,0,9239.891364827461
400219,33,7,07/12/2014,0,0,0,0,0,0.0
427476,936,4,27/11/2014,963,1,1,0,0,8987.785737735918
31892,948,2,18/02/2014,1682,1,1,0,0,13194.4232103643
109374,371,6,04/05/2013,551,1,0,0,0,4771.741879097361
385320,242,1,05/05/2014,378,1,1,0,0,5565.028067641135
517169,133,5,17/01/2014,622,1,0,0,0,5332.537646440323
369733,1031,1,15/12/2014,681,1,1,0,0,7526.704187886266
71343,850,4,07/02/2013,710,1,1,0,0,7010.995413739001
42363,860,5,05/06/2015,833,1,1,0,0,8098.36302528216
612665,836,6,06/07/2013,301,1,0,0,0,3257.481734415749
428563,965,6,30/11/2013,908,1,0,0,0,7064.023354962352
610249,1096,1,26/01/2015,763,1,1,0,0,7797.3523533085245
669222,504,3,03/09/2014,836,1,1,0,1,8321.912315630761
484348,230,1,30/12/2013,1327,1,0,0,1,10176.842470884498
194089,826,1,02/12/2013,1170,1,1,0,0,10368.19978928857
328888,975,2,30/07/2013,767,1,1,0,1,7717.260488631495
485880,602,2,28/10/2014,547,1,0,0,1,5394.59376225638
699868,953,5,19/09/2014,553,1,1,0,0,6351.263268892595
265929,187,6,02/11/2013,491,1,0,0,0,4633.983749770443
154648,792,5,18/10/2013,599,1,0,0,0,5254.7007596138865
376328,1035,4,27/11/2014,744,1,1,0,0,7646.300925868738
530275,523,3,29/07/2015,1515,1,1,0,1,12525.887027454795
441109,723,4,04/04/2013,461,1,0,0,1,4341.60196021857
26050,1025,7,26/05/2013,0,0,0,0,0,0.0
247671,18,7,04/01/2015,0,0,0,0,0,0.0
615467,997,3,03/09/2014,378,1,1,0,1,5475.191490635101
267972,400,6,05/10/2013,805,1,0,0,0,6474.417861770315
22318,1047,2,09/07/2013,491,1,0,0,0,4693.053258477128
430083,819,1,02/09/2013,472,1,0,0,0,4752.048091096571
510014,668,1,02/06/2014,1562,1,1,0,0,12710.775059078063
343803,585,4,22/01/2015,666,1,0,0,0,5759.481116183684
85161,99,1,10/03/2014,404,1,0,0,0,4392.247754523472
505852,965,6,22/11/2014,847,1,0,0,0,6834.582061492314
266131,590,4,21/02/2013,376,1,1,0,0,5031.898508805782
397091,709,2,02/06/2015,1682,1,1,0,0,13498.417493051209
112013,58,7,20/10/2013,0,0,0,0,0,0.0
492019,409,7,09/02/2014,0,0,0,0,0,0.0
73240,850,6,04/04/2015,826,1,0,0,0,6624.944832977082
203948,1058,3,06/03/2013,737,1,1,0,0,7255.718604832829
603210,1067,7,13/04/2014,0,0,0,0,0,0.0
82813,777,1,21/04/2014,0,0,0,b,1,0.0
634511,155,3,21/05/2014,632,1,1,0,0,6969.055782544659
28171,598,1,29/06/2015,871,1,1,0,0,8692.306227450725
198571,493,2,01/07/2014,902,1,1,0,0,8690.841380424914
70073,628,7,03/08/2014,0,0,0,0,1,0.0
551321,524,1,30/12/2013,1193,1,0,0,1,9322.360629322706
509286,966,4,04/04/2013,585,1,0,0,1,5058.034266479139
24413,1022,5,27/12/2013,791,1,0,0,1,6499.75185079634
367168,380,3,05/03/2014,1720,1,1,0,0,13454.792084048735
103724,132,3,14/01/2015,579,1,1,0,0,6658.3518834584975
704886,400,5,26/06/2015,999,1,0,0,0,7895.17022792896
568270,988,4,29/08/2013,790,1,1,0,0,7688.180256350024
627934,906,2,19/03/2013,1476,1,1,0,0,11841.446503149462
520091,1028,2,05/11/2013,689,1,1,0,0,7314.045575405762
505933,1100,6,23/03/2013,484,1,0,0,0,4204.007458126638
67603,759,1,14/01/2013,607,1,0,0,0,5318.10969296738
96570,223,1,27/10/2014,716,1,0,0,0,6508.147278751712
696883,936,7,15/03/2015,0,0,0,0,0,0.0
216455,780,6,11/07/2015,341,1,0,0,0,3799.7668440903653
472114,259,5,28/11/2014,2677,1,1,0,0,19395.094729879173
437836,131,6,09/11/2013,582,1,0,0,0,5197.321866605431
467331,251,3,28/01/2015,2241,1,1,0,0,16720.965732499782
423483,1079,6,17/01/2015,517,1,0,0,0,4626.091607459006
533535,1003,3,05/03/2014,1029,1,1,0,0,9177.271326546092
82465,980,4,05/09/2013,450,1,0,0,0,4362.424311677576
245480,654,2,27/01/2015,766,1,1,0,0,7801.586278105096
155723,966,4,25/07/2013,517,1,0,0,1,4757.456219377054
167485,1020,1,22/09/2014,929,1,0,0,0,7647.952590829751
574217,969,3,19/03/2014,610,1,1,0,0,6650.454566849687
307718,1038,2,07/04/2015,490,1,0,0,1,4919.1028735609725
250666,516,3,09/07/2014,453,1,0,0,1,4648.651867359935
233447,733,1,14/01/2013,3171,1,0,0,0,20860.48349439731
9408,595,6,31/05/2014,1881,1,0,0,0,12958.750199779286
532318,260,3,16/07/2014,962,1,1,0,1,9060.90878417081
213221,768,6,02/02/2013,1251,1,0,0,0,8855.42113625817
149118,940,1,14/01/2013,627,1,0,0,0,5413.211875221808
643815,364,4,27/06/2013,563,1,0,0,0,5047.738764507929
205464,506,3,22/07/2015,763,1,0,0,1,6680.348033311602
172737,671,3,29/05/2013,507,1,1,0,1,6039.852645146719
358803,300,6,24/01/2015,862,1,0,0,0,6833.01891105331
432064,84,2,17/06/2014,1563,1,1,0,0,12730.915569627658
243176,219,4,07/05/2015,455,1,1,0,0,5945.922452028142
165487,934,5,22/03/2013,764,1,1,0,0,7289.39306691871
206630,125,3,01/04/2015,1906,1,1,0,1,14837.569723123801
380228,176,3,04/12/2013,757,1,1,0,0,7803.651882688166
278339,223,2,26/11/2013,675,1,0,0,0,6069.753851198126
125602,326,1,14/07/2014,429,1,1,0,0,5933.641961448651
707930,339,2,27/08/2013,745,1,1,0,0,7664.450703627837
647013,872,3,08/04/2015,659,1,0,0,1,5889.542667388741
404917,579,7,23/11/2014,0,0,0,0,0,0.0
607690,974,5,28/02/2014,1599,1,0,0,0,11171.4976452298
63394,979,7,12/04/2015,0,0,0,0,0,0.0
334403,880,3,04/06/2014,806,1,1,0,0,7943.224082415109
440195,910,7,31/03/2013,0,0,0,0,0,0.0
87636,1084,6,04/07/2015,614,1,0,0,0,5406.613321803859
189540,92,5,12/06/2015,453,1,0,0,0,4623.1153477548505
18218,14,6,20/06/2015,402,1,0,0,0,4251.370384901937
396021,587,1,30/12/2013,960,1,0,0,1,7901.223478902772
442052,230,4,24/10/2013,856,1,1,0,0,8261.584637888707
397202,689,6,15/03/2014,589,1,0,0,0,5039.851605237636
251121,599,1,13/05/2013,1096,1,1,0,0,9724.603505892388
463013,596,7,22/12/2013,0,0,0,0,0,0.0
655331,576,1,11/03/2013,749,1,0,0,0,6270.2487208081875
327407,141,4,26/06/2014,493,1,0,0,0,4799.689853014599
355157,751,1,21/04/2014,0,0,0,b,1,0.0
654124,877,5,01/03/2013,925,1,0,0,0,6975.1342229805305
602473,375,2,23/04/2013,948,1,1,0,0,8753.743044289935
414480,230,1,08/12/2014,988,1,0,0,0,8212.098005904583
574764,545,3,22/01/2014,1087,1,1,0,0,9537.186749032175
136740,1022,1,04/03/2013,1093,1,1,0,0,9573.764431890624
240843,597,3,20/08/2014,756,1,1,0,1,7799.440286896948
130323,559,7,08/06/2014,0,0,0,0,0,0.0
688030,1024,6,18/07/2015,825,1,0,0,0,6701.538950940361
43133,36,2,17/03/2015,1205,1,1,0,0,10612.59816701687
172856,702,2,28/05/2013,351,1,1,0,1,5167.666611490422
446048,623,7,10/02/2013,0,0,0,0,0,0.0
36534,105,4,17/10/2013,483,1,0,0,0,4728.477368885418
612801,902,2,19/11/2013,648,1,1,0,0,7091.292705000902
256750,11,6,11/04/2015,786,1,0,0,0,6507.307642177679
623446,1039,5,28/06/2013,629,1,0,0,0,5272.677512893395
63314,102,1,16/02/2015,1174,1,1,0,0,10459.502321106265
238452,543,5,18/10/2013,175,1,0,0,1,2764.0323294590926
43919,827,4,02/01/2014,1910,1,0,0,1,13151.257331547502
258378,110,3,08/10/2014,647,1,1,0,0,7226.443137921975
59774,945,1,05/01/2015,698,1,1,0,1,7456.878280716133
31637,582,3,12/03/2014,749,1,0,0,0,6258.009670807223
673741,554,4,16/01/2014,428,1,0,0,0,4173.813947489834
659942,486,2,08/07/2014,384,1,0,0,1,4312.509896414704
349639,637,6,15/02/2014,520,1,0,0,0,4595.789662895491
394865,806,5,31/01/2014,578,1,0,0,0,4976.371576738195
255648,887,6,21/06/2014,462,1,0,0,0,4345.072830111312
379128,374,6,04/04/2015,668,1,0,0,0,5736.0655359600205
540897,1025,5,04/01/2013,804,1,0,0,1,6198.299630498339
662220,638,2,06/08/2013,431,1,0,0,1,4463.194353815925
160268,123,6,09/05/2015,490,1,0,0,0,4729.6264638202265
654290,905,4,19/02/2015,1108,1,1,0,0,9710.635443309555
599039,536,5,05/04/2013,989,1,0,0,1,7490.720168583328
651027,763,7,01/02/2015,0,0,0,0,0,0.0
553569,191,6,10/08/2013,694,1,0,0,0,5767.7610667750705
271750,957,4,20/02/2014,948,1,1,0,0,8589.47574876668
709864,268,4,04/06/2015,618,1,1,0,0,6958.468400913582
300796,654,6,07/09/2013,266,1,0,0,0,3138.958949206455
413674,612,6,07/09/2013,388,1,0,0,0,3884.373522898997
8402,747,3,27/08/2014,567,1,0,0,1,5349.316480058769
310059,656,6,18/05/2013,380,1,0,0,0,3701.874576825823
319105,368,5,05/04/2013,592,1,0,0,1,5109.007832460047
689752,959,3,18/09/2013,552,1,0,0,0,5068.844514620549
516276,329,2,03/02/2015,708,1,1,0,0,7517.42135842744
338342,97,3,22/07/2015,535,1,0,0,1,5357.584548374056
666229,314,2,13/08/2013,661,1,1,0,1,7194.432955806085
8353,463,7,11/01/2015,0,0,0,0,0,0.0
386012,258,1,20/05/2013,0,0,0,a,0,0.0
471619,283,3,13/11/2013,621,1,0,0,0,5648.603722042462
612347,556,1,15/04/2013,754,1,0,0,0,6338.991511087457
514445,388,5,24/01/2014,1211,1,1,0,0,10155.922286067973
396179,67,3,03/09/2014,837,1,1,0,1,8390.997035936802
590638,725,5,16/01/2015,677,1,1,0,0,7011.353998631821
683448,219,4,06/06/2013,416,1,1,0,0,5453.330852056213
218062,1077,2,10/02/2015,479,1,0,0,0,4738.6413840414025
706606,322,4,23/05/2013,589,1,0,0,0,5175.807132901216
453487,814,3,20/02/2013,581,1,1,0,1,6362.638578477141
240904,134,7,30/06/2013,0,0,0,0,0,0.0
326681,54,4,11/07/2013,657,1,0,0,0,5686.890084159502
272937,662,5,26/04/2013,854,1,1,0,0,7909.605448293441
11415,126,7,19/04/2015,0,0,0,0,0,0.0
436957,1001,6,30/11/2013,471,1,0,0,0,4410.477778788481
171033,657,4,13/02/2014,598,1,0,0,0,5220.994123037672
632521,590,4,14/03/2013,319,1,0,0,0,3429.220608300646
179002,193,3,25/12/2013,0,0,0,c,1,0.0
345971,168,6,21/09/2013,465,1,0,0,0,4422.598896370095
463457,16,1,22/07/2013,839,1,0,0,0,7035.971522081993
674866,244,1,04/02/2013,738,1,1,0,0,7501.159207477467
479231,545,7,08/02/2015,0,0,0,0,0,0.0
369184,1032,6,19/01/2013,492,1,0,0,0,4193.339743524091
564608,290,5,31/05/2013,987,1,1,0,0,8805.372175221448
421305,548,4,24/01/2013,335,1,1,0,0,4757.700322832854
312789,733,1,04/08/2014,3508,1,1,0,1,24605.624988858995
548456,654,4,06/06/2013,716,1,1,0,0,7208.686618090142
195259,272,6,04/05/2013,377,1,0,0,0,3731.5265124998987
669573,1017,3,20/03/2013,1176,1,1,0,0,9929.653763891489
599293,708,2,20/05/2014,462,1,1,0,0,5936.742299819132
33900,819,4,08/01/2015,454,1,1,0,0,5720.267642886203
74619,99,3,26/06/2013,372,1,0,0,0,4006.1313338720356
284898,982,2,10/12/2013,710,1,0,0,0,6197.175277280912
402135,683,5,03/04/2015,0,0,1,b,1,0.0
447277,194,3,16/10/2013,373,1,0,0,0,4126.700605485996
588164,853,2,30/06/2015,1201,1,1,0,0,10577.738370237523
456931,53,1,28/04/2014,650,1,1,0,1,7262.678989070409
221701,281,4,07/02/2013,508,1,1,0,0,5868.875180046074
535271,101,2,02/09/2014,879,1,1,0,0,8675.328596701904
171677,440,5,05/06/2015,769,1,1,0,1,7814.066409686988
226127,994,2,18/03/2014,435,1,1,0,0,5663.988046807586
414979,168,2,30/07/2013,930,1,1,0,1,8821.476380573295
500051,48,7,27/10/2013,0,0,0,0,0,0.0
329177,652,6,15/02/2014,501,1,0,0,0,4478.480543318205
541113,934,6,11/01/2014,474,1,0,0,0,4238.625220911868
124681,223,6,29/03/2014,589,1,0,0,0,5114.606286111521
284177,378,5,26/12/2014,0,0,0,c,1,0.0
90749,865,3,17/07/2013,624,1,1,0,0,6738.270358652982
237894,466,5,31/01/2014,861,1,0,0,0,6740.473131040984
506152,789,5,14/02/2014,546,1,0,0,0,4809.128588397987
622882,61,7,07/06/2015,0,0,0,0,0,0.0
34430,765,4,19/12/2013,1068,1,1,0,0,9533.316393661546
268594,673,1,23/02/2015,500,1,0,0,0,5009.413317964645
368485,258,3,25/06/2014,444,1,0,0,0,4563.553565681388
602478,740,3,08/10/2014,499,1,1,0,0,6238.658884129778
202788,1080,1,16/09/2013,764,1,0,0,0,6491.563668199058
675955,918,5,20/06/2014,661,1,1,0,0,6911.162205547502
611958,857,6,22/06/2013,1004,1,0,0,0,7490.0738970072125
597571,837,1,01/07/2013,482,1,1,0,0,6029.58226532198
317074,516,7,01/03/2015,0,0,0,0,0,0.0
380943,446,2,27/05/2014,505,1,0,0,0,4952.028336833115
649251,835,4,30/05/2013,0,0,1,a,0,0.0
386136,140,7,03/02/2013,0,0,0,0,0,0.0
411910,207,3,14/08/2013,1584,1,1,0,0,12682.844012354617
119756,961,4,29/01/2015,668,1,1,0,0,7008.015556600352
251963,772,2,18/03/2014,507,1,1,0,0,6132.347043688991
292719,1089,2,02/09/2014,1050,1,1,0,0,9569.15090746712
77065,521,3,05/03/2014,421,1,1,0,0,5562.119744369062
206967,823,5,17/01/2014,600,1,0,0,0,5099.698685458337
521339,436,6,14/09/2013,426,1,0,0,0,4143.821907840145
363365,483,7,09/03/2014,0,0,0,0,0,0.0
481077,215,2,25/03/2014,333,1,0,0,0,3875.091807928402
711386,109,5,29/05/2015,802,1,0,0,0,6711.475273940538
66970,858,1,16/12/2013,590,1,1,0,0,6856.155234716425
435729,425,4,05/03/2015,501,1,1,0,0,6127.108172496082
426284,357,5,24/07/2015,905,1,0,0,1,7407.0153096792055
435236,255,1,02/02/2015,575,1,1,0,0,6799.765524073853
199039,798,6,07/02/2015,343,1,0,0,0,3640.1333757668035
99250,366,6,23/03/2013,304,1,0,0,0,3219.010355628736
580140,534,2,07/04/2015,510,1,0,0,1,5112.9961861089105
254820,179,5,20/06/2014,1176,1,1,0,0,10138.798735536286
155130,258,2,03/09/2013,464,1,0,0,1,4749.771198493836
503682,693,5,29/08/2014,384,1,0,0,1,4092.683412524173
288534,999,4,24/10/2013,685,1,1,0,1,7157.356975059083
67050,834,6,19/04/2014,492,1,0,0,0,4466.646800512273
174771,512,4,31/10/2013,1410,1,0,0,1,10338.221207387105
442288,818,2,23/04/2013,662,1,1,0,0,6956.605847893166
606734,534,6,12/10/2013,606,1,0,0,0,5252.865377944079
431156,1084,2,17/12/2013,1099,1,1,0,0,9830.56451349397
424121,34,2,10/03/2015,861,1,0,0,0,7237.500628880109
557753,101,4,27/03/2014,686,1,0,0,0,5875.435885608022
520831,187,1,02/03/2015,885,1,1,0,0,8721.667639022286
376589,20,1,23/09/2013,1041,1,1,0,0,9613.78302500723
7670,828,7,26/10/2014,0,0,0,0,0,0.0
303546,434,1,12/08/2013,823,1,1,0,1,8236.588529886212
236740,738,1,04/05/2015,864,1,1,0,0,8582.814547973336
145734,351,5,07/03/2014,569,1,1,0,0,6328.1774887138745
134420,1020,4,30/01/2014,905,1,0,0,0,7004.920868377958
691699,86,7,11/08/2013,0,0,0,0,0,0.0
233889,266,3,17/06/2015,573,1,1,0,0,6771.283459671249
653554,608,5,20/06/2014,1024,1,1,0,0,9155.761604814965
481046,708,5,21/02/2014,493,1,1,0,1,5833.245328640158
423103,734,3,05/02/2014,605,1,1,0,0,6613.096702360839
693486,776,7,07/06/2015,0,0,0,0,0,0.0
90193,1060,2,09/04/2013,853,1,1,0,0,8071.674995073758
119482,182,2,29/04/2014,507,1,1,0,0,6256.767997108924
525167,542,3,16/01/2013,431,1,0,0,0,4127.406728407135
239754,602,1,06/05/2013,610,1,0,0,0,5488.221441352798
332806,101,4,07/11/2013,777,1,1,0,0,7825.659987414838
142056,784,7,30/06/2013,0,0,0,0,0,0.0
673000,679,7,17/11/2013,0,0,0,0,0,0.0
567353,535,4,14/08/2014,793,1,0,0,1,6664.279985097819
696641,844,4,06/02/2014,516,1,1,0,0,5980.172707028862
628766,595,7,24/05/2015,0,0,0,0,0,0.0
544695,25,6,30/03/2013,1831,1,0,0,0,12526.050476873235
652921,416,3,03/12/2014,1819,1,1,0,0,14349.094983259914
436682,539,4,22/01/2015,966,1,0,0,0,7584.207004365278
158580,77,3,28/08/2013,642,1,1,0,0,7000.332500806835
184394,641,2,09/07/2013,493,1,0,0,0,4763.727445107652
523534,445,6,10/01/2015,1201,1,0,0,0,8859.002717213763
133026,318,5,03/05/2013,822,1,1,0,0,7786.287804728141
296285,394,3,13/11/2013,539,1,0,0,0,5135.65015691123
14477,761,5,07/02/2014,1014,1,1,0,1,8975.47308775864
130799,706,2,28/07/2015,578,1,1,0,0,6855.690338753222
